en_key,type,official_zh,youmin_zh,portal_zh,baha_zht,recommended_zh,aliases,conflict,evidence
Control pad,Item,,,,,控制板,控制面板,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Cookie mold pan,Item,,,,,饼干模具,饼干模具锅;饼干模具盘,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Dust pan,Item,簸箕,,,,簸箕,,,官方map
Ear,Item,,,,斷耳,断耳,,官方未翻;仅单源(巴哈繁中、转简),巴哈snA=181
Easter egg,Item,复活节彩蛋,,,,复活节彩蛋,,,官方map
Egg,Item,,,,,,,全缺,官方wiki无zh-cn标题;三路社区均未覆盖
Egg beater,Item,,,,,打蛋器,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Extension ladder,Item,伸缩梯,延展梯子,伸缩梯(3DM、B站V81)/延展梯子(B站终端帖),可延展梯子,伸缩梯,延展梯子;可延展梯子,,官方map;游民1679045;3DM gl3925654_37;巴哈snA=4
Fancy lamp,Item,,,,,华丽台灯,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Flashlight,Item,手电筒,手电筒,手电筒,手電筒,手电筒,,,官方map;游民1679425+1679045;3DM gl3925654_32;巴哈snA=4
Flask,Item,,,,,烧瓶,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Foot,Item,,,,斷腳,断脚,,官方未翻;仅单源(巴哈繁中、转简),巴哈snA=181
Garbage lid,Item,,,,,垃圾桶盖,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Gift,Item,,,,,礼物盒,礼物,官方未翻;汉化包双源一致(游戏内物名Gift box),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Gold bar,Item,,,金条(B站视频标题),,金条,,官方未翻;仅单源(B站),B站BV1Fg4y1C7qT;游民价格表图片化无出处;巴哈site搜索零结果
Golden cup,Item,,,,,金杯,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Hairdryer,Item,,,,,电吹风,吹风机,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Hand,Item,,,,斷手,断手,,官方未翻;仅单源(巴哈繁中、转简),巴哈snA=181
Heart,Item,,,,心臟,心脏,,官方未翻;仅单源(巴哈繁中、转简),巴哈snA=181
Hive,Item,蜂巢,蜂巢,蜂巢,蜂窩(圖鑑帖:蜂巢),蜂巢,蜂窝,,官方map;游民1679413_3;3DM gl3925654_16;B站cv31058075;巴哈snA=7
Jar of pickles,Item,,,,,一罐腌黄瓜,腌黄瓜罐,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Jetpack,Item,,喷气背包,喷气背包,噴射背包,喷气背包,喷射背包,官方未翻,游民1679045;3DM gl3925654_36;B站cv31058075;巴哈snA=4
Knee,Item,,,,膝蓋,膝盖,,官方未翻;仅单源(巴哈繁中、转简),巴哈snA=181
Large axle,Item,,,,,大型轴承,大号轴承,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Lockpicker,Item,开锁器,开锁器,开锁器,解鎖器,开锁器,解锁器,,官方map;游民1679425+1679045;3DM gl3925654_33;B站cv27889244;巴哈snA=4
Magic 7 ball,Item,,,,,“魔法”七号球,魔法 7 号球;七号球,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Magnifying glass,Item,,,,,放大镜,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Mapper,Item,,,,,,,全缺,官方wiki无zh-cn标题;三路社区均未覆盖
Masks (Item),Item,,,,,,喜剧面具;悲剧面具,汉化包仅子项有译名(Comedy=喜剧面具/Tragedy=悲剧面具)无Masks总称,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Metal sheet,Item,,,,,金属板,金属片,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Mug,Item,,,,,马克杯,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Old phone,Item,,,,,旧电话,老式电话,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Painting,Item,,,,,画,画作,官方未翻;汉化包双源不一致(XC145优先),汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
Perfume bottle,Item,,,,,香水瓶,,官方未翻;汉化包双源一致,汉化包XC145简中包v5.7.7(_AutoGeneratedTranslations.txt)thunderstore.io/package/download/XC145/Xctony145_Simplified_Chinese_Translation_Pack/5.7.7/;汉化包NakiriFox简中包v2.5.0(Item-Translate.xml)thunderstore.io/package/download/NakiriFox/LC_Simplified_Chinese_Localization/2.5.0/
